column,n,mean,median,std,skew,skew_p,kurtosis,kurt_p,normal_test,normal_p,outlier_prop,mean_representative,notes
Structure_p_act,150,0.5533333333333333,0.5,0.4639582639564816,-0.2148500866229684,0.27105511550561245,-1.8173994526700898,2.7463549228362956e-256,shapiro,7.541067072353808e-16,0.0,True,
Structure_r_act,150,0.8466666666666667,1.0,0.3615155768487031,-1.9437688102628807,2.603965424344645e-12,1.802088193734888,0.0031639000140746645,shapiro,9.952307870232753e-22,0.15333333333333332,False,
Structure_p_par,150,0.9656666666666667,1.0,0.09795123503276743,-3.103075612039632,2.0586496666241152e-19,9.839502990318394,9.078587393751674e-10,shapiro,2.8211899201284494e-22,0.12666666666666668,False,
Structure_r_par,150,0.9856666666666666,1.0,0.0794985683604721,-6.869906558911281,2.7299337214597315e-36,54.205801261280996,2.960622794250208e-18,shapiro,2.370459685447932e-25,0.04,False,
Structure_hierarchical_precision,150,0.7595,0.75,0.22286360415102036,-0.11105765661883567,0.5666983556757673,-1.7759367258491214,9.665599057862322e-275,shapiro,1.914419597389864e-14,0.0,True,
Structure_hierarchical_recall,150,0.9161666666666668,1.0,0.18206350454388406,-1.8180978381850244,1.8098775175789452e-11,1.4109930336936412,0.01075280597806944,shapiro,5.8114311396359926e-21,0.19333333333333333,False,
Structure_hierarchical_f1,150,0.8156134472782071,0.8571428571428571,0.18642941522404285,-0.48915575984887844,0.01567367195099832,-1.2556018133815505,1.4448236113481324e-19,shapiro,2.88841033048291e-12,0.0,True,
Content_accuracy,150,0.9657777777777778,1.0,0.10515757620806387,-3.2752789303042995,2.2762734495738477e-20,11.354532682376579,1.7520529635559e-10,shapiro,8.80817670556158e-23,0.10666666666666667,False,
