column,n,mean,median,std,skew,skew_p,kurtosis,kurt_p,normal_test,normal_p,outlier_prop,mean_representative,notes
Structure_p_act,150,0.6555555555555557,1.0,0.43464208949516814,-0.6486523267517595,0.0018678903344068831,-1.3706213659848139,6.637607156912423e-39,shapiro,2.447542740532512e-16,0.0,False,
Structure_r_act,150,0.94,1.0,0.23828244477915886,-3.743002942237314,7.468499874407857e-23,12.172202597734508,7.816210995896864e-11,shapiro,2.1243481105003506e-24,0.06,False,
Structure_p_par,150,0.9545555555555556,1.0,0.14253610904366473,-3.2177647742475917,4.720915115492204e-20,9.560028743150209,1.2598048521066105e-09,shapiro,6.591186789012034e-23,0.10666666666666667,False,
Structure_r_par,150,0.9857777777777779,1.0,0.06608771730302564,-4.6975779716512545,1.7975536559483835e-27,21.492431972557878,9.837016745690452e-14,shapiro,7.730299509015078e-25,0.04666666666666667,False,
Structure_hierarchical_precision,150,0.8050555555555555,0.95,0.21744160304156063,-0.4509200955946056,0.024978352959134066,-1.550300612741579,0.0,shapiro,4.3116908585293585e-15,0.0,True,
Structure_hierarchical_recall,150,0.9628888888888889,1.0,0.12188928281732607,-3.3780017844853036,6.2773691810575516e-21,10.08720133653091,6.83629372899422e-10,shapiro,2.4823830432246224e-23,0.10666666666666667,False,
Structure_hierarchical_f1,150,0.8618567394687939,0.9736842105263158,0.16342405690829614,-0.7538473860085736,0.00040455545879716147,-0.794516077169499,0.0014782897327592583,shapiro,8.611037487343613e-14,0.0,False,
Content_accuracy,150,0.9584444444444443,1.0,0.12507636245685563,-3.5253984100146023,1.0208267741471025e-21,13.972560721658219,1.5582256856748823e-11,shapiro,1.5196239799928133e-22,0.12,False,
