column,n,mean,median,std,skew,skew_p,kurtosis,kurt_p,normal_test,normal_p,outlier_prop,mean_representative,notes
Structure_p_act,150,0.8933333333333333,1.0,0.30425763250101556,-2.5729725108124675,2.5842181256529307e-16,4.780718672311194,1.9134808768977872e-06,shapiro,9.595163470199511e-23,0.11333333333333333,False,
Structure_r_act,150,0.92,1.0,0.2722020568099066,-3.127644814035686,1.498603996601167e-19,7.887154568055184,1.0820204089224741e-08,shapiro,9.918935304978006e-24,0.08,False,
Structure_p_par,150,0.9916666666666667,1.0,0.05353812749991232,-7.141332185476353,2.891981170177177e-37,55.33897527047864,2.3783965247458588e-18,shapiro,8.988990329990361e-26,0.02666666666666667,False,
Structure_r_par,150,0.9966666666666667,1.0,0.02877047952624395,-8.572037229920264,4.773075771270939e-42,72.44567202337478,1.4737749929897865e-19,shapiro,2.1304166700427806e-26,0.013333333333333334,False,
Structure_hierarchical_precision,150,0.9425,1.0,0.15572815541597398,-2.4668995100210505,1.1533045786862863e-15,4.26055840919948,5.6231739107443906e-06,shapiro,2.1368670417693757e-22,0.13333333333333333,False,
Structure_hierarchical_recall,150,0.9583333333333334,1.0,0.13636787329869504,-3.0757951727721538,2.932701838248884e-19,7.648323163026616,1.515619576241774e-08,shapiro,1.7570894313550978e-23,0.09333333333333334,False,
Structure_hierarchical_f1,150,0.9479920634920636,1.0,0.14396324852771053,-2.6239754981141865,1.2693373754080961e-16,5.225589697931326,8.058753331815871e-07,shapiro,2.2579109315210197e-22,0.14,False,
Content_accuracy,150,0.9707777777777779,1.0,0.09860958554028884,-3.359066381308465,7.948693996573989e-21,10.405072176903643,4.792419402367378e-10,shapiro,2.32577638908435e-23,0.08666666666666667,False,
